province,district,posto
,MANJACAZE,CHALALA
,MANJACAZE,CHIBONZANE
,MANJACAZE,CHIDENGUELE
,MANJACAZE,MACUACUA
,MANJACAZE,MAZUCANE
,MANJACAZE,NGUZENE
,MASSANGENA,MASSANGENA
,MASSANGENA,MUVUE
,MASSINGIR,MASSINGIR
,MASSINGIR,MAVODZE
,MASSINGIR,ZULO
,XAI_XAI,CHICUMBANE
,XAI_XAI,CHONGOENE
,XAI_XAI,ZONGUENE
,BOANE,BOANE
,BOANE,MATOLA RIO
,MAGUDE,MAGUDE
,MAGUDE,MAPULANGUENE
,MAGUDE,MOTAZE
,MAGUDE,MAHEL
,MAGUDE,PANJANE
,MANHICA,MANHICA
,MANHICA,CALANGA
,MANHICA,ILHA JOSINA MACHEL
,MANHICA,MALUANA
,MANHICA,XINAVANE
,MANHICA,3 DE FEVEREIRO
,MARRACUENE,MARRACUENE
,MARRACUENE,MACHUBO
,MATUTUINE,MISSEVENE
,MATUTUINE,CATEMBE
,MATUTUINE,CATUANE
,MATUTUINE,MACHANGULO
,MATUTUINE,ZITUNDO
,MOAMBA,MOAMBA
,MOAMBA,PESSENE
,MOAMBA,RESSANO GARCIA
,MOAMBA,SABIE
,NAMAACHA,NAMAACHA
,NAMAACHA,CHANGALANE
